Bobot & bias berhasil dimuat.
Menjalankan 8 worker thread (dynamic load balancing)...
[Worker 3 | CPU  0] Layer 1 memproses Frame  15 | Waktu: 0.00305 detik
[Worker 7 | CPU  0] Layer 1 memproses Frame  13 | Waktu: 0.00697 detik
[Worker 0 | CPU  0] Layer 1 memproses Frame  12 | Waktu: 0.00898 detik
[Worker 4 | CPU  0] Layer 2 memproses Frame  10 | Waktu: 0.01415 detik
[Worker 5 | CPU  0] Layer 3 memproses Frame   9 | Waktu: 0.00695 detik
[Worker 6 | CPU  0] Layer 1 memproses Frame  16 | Waktu: 0.00553 detik
[Worker 5 | CPU  0] Layer 4 memproses Frame   9 | Waktu: 0.00351 detik
[Worker 4 | CPU  0] Layer 3 memproses Frame  10 | Waktu: 0.00357 detik
[Worker 1 | CPU  0] Layer 2 memproses Frame  11 | Waktu: 0.01469 detik
[Worker 4 | CPU  0] Layer 4 memproses Frame  10 | Waktu: 0.00327 detik
[Worker 3 | CPU  0] Layer 2 memproses Frame  15 | Waktu: 0.01251 detik
[Worker 5 | CPU  0] Layer 5 memproses Frame   9 | Waktu: 0.00563 detik
[Worker 4 | CPU  0] Layer 5 memproses Frame  10 | Waktu: 0.00326 detik
[Worker 1 | CPU  0] Layer 3 memproses Frame  11 | Waktu: 0.00717 detik
[Worker 3 | CPU  0] Layer 3 memproses Frame  15 | Waktu: 0.00328 detik
[Worker 6 | CPU  0] Layer 2 memproses Frame  16 | Waktu: 0.01220 detik
[Worker 5 | CPU  0] Layer 6 memproses Frame   9 | Waktu: 0.00386 detik
[Worker 1 | CPU  0] Layer 4 memproses Frame  11 | Waktu: 0.00324 detik
[Worker 7 | CPU  0] Layer 2 memproses Frame  13 | Waktu: 0.01786 detik
[Worker 2 | CPU  0] Layer 2 memproses Frame  14 | Waktu: 0.02005 detik
[Worker 3 | CPU  0] Layer 4 memproses Frame  15 | Waktu: 0.00324 detik
[Worker 1 | CPU  0] Layer 5 memproses Frame  11 | Waktu: 0.00321 detik
[Worker 0 | CPU  0] Layer 2 memproses Frame  12 | Waktu: 0.01905 detik
[Worker 4 | CPU  0] Layer 6 memproses Frame  10 | Waktu: 0.00824 detik
[Worker 3 | CPU  0] Layer 5 memproses Frame  15 | Waktu: 0.00318 detik
[Worker 6 | CPU  0] Layer 3 memproses Frame  16 | Waktu: 0.00734 detik
[Worker 7 | CPU  0] Layer 3 memproses Frame  13 | Waktu: 0.00522 detik
[Worker 2 | CPU  0] Layer 3 memproses Frame  14 | Waktu: 0.00554 detik
[Worker 1 | CPU  0] Layer 6 memproses Frame  11 | Waktu: 0.00320 detik
[Worker 0 | CPU  0] Layer 3 memproses Frame  12 | Waktu: 0.00323 detik
[Worker 6 | CPU  0] Layer 4 memproses Frame  16 | Waktu: 0.00358 detik
[Worker 7 | CPU  0] Layer 4 memproses Frame  13 | Waktu: 0.00463 detik
[Worker 0 | CPU  0] Layer 4 memproses Frame  12 | Waktu: 0.00444 detik
[Worker 2 | CPU  0] Layer 4 memproses Frame  14 | Waktu: 0.00574 detik
[Worker 6 | CPU  0] Layer 5 memproses Frame  16 | Waktu: 0.00320 detik
[Worker 5 | CPU  0] Layer 7 memproses Frame   9 | Waktu: 0.01367 detik
[Worker 3 | CPU  0] Layer 6 memproses Frame  15 | Waktu: 0.00801 detik
[Worker 7 | CPU  0] Layer 5 memproses Frame  13 | Waktu: 0.00321 detik
[Worker 2 | CPU  0] Layer 5 memproses Frame  14 | Waktu: 0.00320 detik
[Worker 6 | CPU  0] Layer 6 memproses Frame  16 | Waktu: 0.00318 detik
[Worker 0 | CPU  0] Layer 5 memproses Frame  12 | Waktu: 0.00695 detik
[Worker 2 | CPU  0] Layer 6 memproses Frame  14 | Waktu: 0.00311 detik
[Worker 4 | CPU  0] Layer 7 memproses Frame  10 | Waktu: 0.01617 detik
[Worker 7 | CPU  0] Layer 6 memproses Frame  13 | Waktu: 0.00707 detik
[Worker 1 | CPU  0] Layer 7 memproses Frame  11 | Waktu: 0.01441 detik
[Worker 0 | CPU  0] Layer 6 memproses Frame  12 | Waktu: 0.00333 detik
[Worker 3 | CPU  0] Layer 7 memproses Frame  15 | Waktu: 0.01232 detik
[Worker 0 | CPU  0] Layer 7 memproses Frame  12 | Waktu: 0.01212 detik
[Worker 6 | CPU  0] Layer 7 memproses Frame  16 | Waktu: 0.02074 detik
[Worker 2 | CPU  0] Layer 7 memproses Frame  14 | Waktu: 0.01909 detik
[Worker 7 | CPU  0] Layer 7 memproses Frame  13 | Waktu: 0.01755 detik
[Worker 5 | CPU  0] Layer 8 memproses Frame   9 | Waktu: 0.03221 detik
Frame 9 selesai diproses.
[Worker 5 | CPU  0] Layer 1 memproses Frame  17 | Waktu: 0.00508 detik
[Worker 1 | CPU  0] Layer 8 memproses Frame  11 | Waktu: 0.03076 detik
[Worker 4 | CPU  0] Layer 8 memproses Frame  10 | Waktu: 0.03276 detik
Frame 10 selesai diproses.
Frame 11 selesai diproses.
[Worker 1 | CPU  0] Layer 1 memproses Frame  18 | Waktu: 0.00314 detik
[Worker 3 | CPU  0] Layer 8 memproses Frame  15 | Waktu: 0.03506 detik
[Worker 4 | CPU  0] Layer 1 memproses Frame  19 | Waktu: 0.00968 detik
[Worker 5 | CPU  0] Layer 2 memproses Frame  17 | Waktu: 0.01490 detik
[Worker 3 | CPU  0] Layer 1 memproses Frame  20 | Waktu: 0.00767 detik
[Worker 5 | CPU  0] Layer 3 memproses Frame  17 | Waktu: 0.00313 detik
[Worker 0 | CPU  0] Layer 8 memproses Frame  12 | Waktu: 0.03417 detik
Frame 12 selesai diproses.
[Worker 5 | CPU  0] Layer 4 memproses Frame  17 | Waktu: 0.00316 detik
[Worker 0 | CPU  0] Layer 1 memproses Frame  21 | Waktu: 0.00315 detik
[Worker 1 | CPU  0] Layer 2 memproses Frame  18 | Waktu: 0.01771 detik
[Worker 6 | CPU  0] Layer 8 memproses Frame  16 | Waktu: 0.03716 detik
[Worker 5 | CPU  0] Layer 5 memproses Frame  17 | Waktu: 0.00305 detik
[Worker 6 | CPU  0] Layer 1 memproses Frame  22 | Waktu: 0.00318 detik
[Worker 1 | CPU  0] Layer 3 memproses Frame  18 | Waktu: 0.00418 detik
[Worker 3 | CPU  0] Layer 2 memproses Frame  20 | Waktu: 0.01016 detik
[Worker 2 | CPU  0] Layer 8 memproses Frame  14 | Waktu: 0.04166 detik
[Worker 7 | CPU  0] Layer 8 memproses Frame  13 | Waktu: 0.04120 detik
Frame 13 selesai diproses.
[Worker 4 | CPU  0] Layer 2 memproses Frame  19 | Waktu: 0.01739 detik
Frame 14 selesai diproses.
Frame 15 selesai diproses.
[Worker 3 | CPU  0] Layer 3 memproses Frame  20 | Waktu: 0.00323 detik
Frame 16 selesai diproses.
