[Worker 1 | CPU  1] Layer 1 memproses Frame  14 | Waktu: 0.00913 detik
[Worker 0 | CPU  0] Layer 5 memproses Frame   9 | Waktu: 0.00457 detik
[Worker 2 | CPU  2] Layer 8 memproses Frame   6 | Waktu: 0.04006 detik
[Worker 3 | CPU  3] Layer 2 memproses Frame  10 | Waktu: 0.01319 detik
[Worker 4 | CPU  4] Layer 2 memproses Frame  11 | Waktu: 0.01650 detik
[Worker 0 | CPU  0] Layer 6 memproses Frame   9 | Waktu: 0.00327 detik
[Worker 2 | CPU  2] Layer 1 memproses Frame  16 | Waktu: 0.00316 detik
[Worker 5 | CPU  5] Layer 2 memproses Frame  12 | Waktu: 0.01639 detik
[Worker 3 | CPU  3] Layer 3 memproses Frame  10 | Waktu: 0.00335 detik
[Worker 6 | CPU  6] Layer 2 memproses Frame  13 | Waktu: 0.01730 detik
[Worker 1 | CPU  1] Layer 2 memproses Frame  14 | Waktu: 0.01118 detik
[Worker 4 | CPU  4] Layer 3 memproses Frame  11 | Waktu: 0.00546 detik
[Worker 5 | CPU  5] Layer 3 memproses Frame  12 | Waktu: 0.00507 detik
[Worker 3 | CPU  3] Layer 4 memproses Frame  10 | Waktu: 0.00398 detik
[Worker 4 | CPU  4] Layer 4 memproses Frame  11 | Waktu: 0.00329 detik
[Worker 5 | CPU  5] Layer 4 memproses Frame  12 | Waktu: 0.00314 detik
[Worker 1 | CPU  1] Layer 3 memproses Frame  14 | Waktu: 0.00556 detik
[Worker 3 | CPU  3] Layer 5 memproses Frame  10 | Waktu: 0.00318 detik
[Worker 4 | CPU  4] Layer 5 memproses Frame  11 | Waktu: 0.00312 detik
[Worker 6 | CPU  6] Layer 3 memproses Frame  13 | Waktu: 0.00825 detik
[Worker 5 | CPU  5] Layer 5 memproses Frame  12 | Waktu: 0.00314 detik
[Worker 3 | CPU  3] Layer 6 memproses Frame  10 | Waktu: 0.00313 detik
[Worker 2 | CPU  2] Layer 2 memproses Frame  16 | Waktu: 0.01311 detik
[Worker 7 | CPU  7] Layer 2 memproses Frame  15 | Waktu: 0.02277 detik
[Worker 1 | CPU  1] Layer 4 memproses Frame  14 | Waktu: 0.00481 detik
[Worker 0 | CPU  0] Layer 7 memproses Frame   9 | Waktu: 0.01488 detik
[Worker 5 | CPU  5] Layer 6 memproses Frame  12 | Waktu: 0.00317 detik
[Worker 6 | CPU  6] Layer 4 memproses Frame  13 | Waktu: 0.00563 detik
[Worker 1 | CPU  1] Layer 5 memproses Frame  14 | Waktu: 0.00313 detik
[Worker 2 | CPU  2] Layer 3 memproses Frame  16 | Waktu: 0.00422 detik
[Worker 7 | CPU  7] Layer 3 memproses Frame  15 | Waktu: 0.00425 detik
[Worker 4 | CPU  4] Layer 6 memproses Frame  11 | Waktu: 0.00718 detik
[Worker 1 | CPU  1] Layer 6 memproses Frame  14 | Waktu: 0.00314 detik
[Worker 6 | CPU  6] Layer 5 memproses Frame  13 | Waktu: 0.00384 detik
[Worker 7 | CPU  7] Layer 4 memproses Frame  15 | Waktu: 0.00318 detik
[Worker 2 | CPU  2] Layer 4 memproses Frame  16 | Waktu: 0.00679 detik
[Worker 6 | CPU  6] Layer 6 memproses Frame  13 | Waktu: 0.00318 detik
[Worker 7 | CPU  7] Layer 5 memproses Frame  15 | Waktu: 0.00315 detik
[Worker 5 | CPU  5] Layer 7 memproses Frame  12 | Waktu: 0.01048 detik
[Worker 7 | CPU  7] Layer 6 memproses Frame  15 | Waktu: 0.00309 detik
[Worker 1 | CPU  1] Layer 7 memproses Frame  14 | Waktu: 0.01051 detik
[Worker 3 | CPU  3] Layer 7 memproses Frame  10 | Waktu: 0.01954 detik
[Worker 2 | CPU  2] Layer 5 memproses Frame  16 | Waktu: 0.00808 detik
[Worker 4 | CPU  4] Layer 7 memproses Frame  11 | Waktu: 0.01542 detik
[Worker 2 | CPU  2] Layer 6 memproses Frame  16 | Waktu: 0.00301 detik
[Worker 7 | CPU  7] Layer 7 memproses Frame  15 | Waktu: 0.00984 detik
[Worker 6 | CPU  6] Layer 7 memproses Frame  13 | Waktu: 0.01922 detik
[Worker 2 | CPU  2] Layer 7 memproses Frame  16 | Waktu: 0.00956 detik
[Worker 4 | CPU  4] Layer 8 memproses Frame  11 | Waktu: 0.02862 detik
[Worker 5 | CPU  5] Layer 8 memproses Frame  12 | Waktu: 0.03868 detik
[Worker 0 | CPU  0] Layer 8 memproses Frame   9 | Waktu: 0.05034 detik
[Worker 5 | CPU  5] Layer 1 memproses Frame  18 | Waktu: 0.00313 detik
[Worker 1 | CPU  1] Layer 8 memproses Frame  14 | Waktu: 0.03794 detik
[Worker 4 | CPU  4] Layer 1 memproses Frame  17 | Waktu: 0.00806 detik
[Worker 7 | CPU  7] Layer 8 memproses Frame  15 | Waktu: 0.03444 detik
[Worker 0 | CPU  0] Layer 1 memproses Frame  19 | Waktu: 0.00666 detik
[Worker 6 | CPU  6] Layer 8 memproses Frame  13 | Waktu: 0.03042 detik
[Worker 7 | CPU  7] Layer 1 memproses Frame  21 | Waktu: 0.00318 detik
[Worker 2 | CPU  2] Layer 8 memproses Frame  16 | Waktu: 0.03363 detik
[Worker 1 | CPU  1] Layer 1 memproses Frame  20 | Waktu: 0.00974 detik
[Worker 3 | CPU  3] Layer 8 memproses Frame  10 | Waktu: 0.04680 detik
[Worker 5 | CPU  5] Layer 2 memproses Frame  18 | Waktu: 0.01127 detik
[Worker 2 | CPU  2] Layer 1 memproses Frame  23 | Waktu: 0.00321 detik
[Worker 5 | CPU  5] Layer 3 memproses Frame  18 | Waktu: 0.00316 detik
[Worker 0 | CPU  0] Layer 2 memproses Frame  19 | Waktu: 0.01070 detik
[Worker 6 | CPU  6] Layer 1 memproses Frame  22 | Waktu: 0.00977 detik
[Worker 5 | CPU  5] Layer 4 memproses Frame  18 | Waktu: 0.00317 detik
[Worker 3 | CPU  3] Layer 1 memproses Frame  24 | Waktu: 0.00661 detik
[Worker 7 | CPU  7] Layer 2 memproses Frame  21 | Waktu: 0.01113 detik
[Worker 4 | CPU  4] Layer 2 memproses Frame  17 | Waktu: 0.01719 detik
[Worker 5 | CPU  5] Layer 5 memproses Frame  18 | Waktu: 0.00334 detik
[Worker 0 | CPU  0] Layer 3 memproses Frame  19 | Waktu: 0.00649 detik
[Worker 1 | CPU  1] Layer 2 memproses Frame  20 | Waktu: 0.01260 detik
[Worker 4 | CPU  4] Layer 3 memproses Frame  17 | Waktu: 0.00329 detik
[Worker 5 | CPU  5] Layer 6 memproses Frame  18 | Waktu: 0.00324 detik
[Worker 0 | CPU  0] Layer 4 memproses Frame  19 | Waktu: 0.00327 detik
[Worker 7 | CPU  7] Layer 3 memproses Frame  21 | Waktu: 0.00811 detik
[Worker 1 | CPU  1] Layer 3 memproses Frame  20 | Waktu: 0.00317 detik
[Worker 7 | CPU  7] Layer 4 memproses Frame  21 | Waktu: 0.00317 detik
[Worker 3 | CPU  3] Layer 2 memproses Frame  24 | Waktu: 0.01247 detik
[Worker 0 | CPU  0] Layer 5 memproses Frame  19 | Waktu: 0.00649 detik
[Worker 4 | CPU  4] Layer 4 memproses Frame  17 | Waktu: 0.00863 detik
[Worker 6 | CPU  6] Layer 2 memproses Frame  22 | Waktu: 0.01646 detik
[Worker 7 | CPU  7] Layer 5 memproses Frame  21 | Waktu: 0.00312 detik
[Worker 3 | CPU  3] Layer 3 memproses Frame  24 | Waktu: 0.00316 detik
[Worker 5 | CPU  5] Layer 7 memproses Frame  18 | Waktu: 0.01061 detik
[Worker 1 | CPU  1] Layer 4 memproses Frame  20 | Waktu: 0.00809 detik
[Worker 6 | CPU  6] Layer 3 memproses Frame  22 | Waktu: 0.00403 detik
[Worker 2 | CPU  2] Layer 2 memproses Frame  23 | Waktu: 0.02260 detik
[Worker 4 | CPU  4] Layer 5 memproses Frame  17 | Waktu: 0.00478 detik
