[SYNCPILOT | CPU  3] Layer 5 memproses Frame   5 | Waktu: 0.12487 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame   4 | Waktu: 0.17765 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  11 | Waktu: 0.03181 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  12 | Waktu: 0.01710 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  11 | Waktu: 0.03103 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame   2 | Waktu: 0.12317 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  10 | Waktu: 0.11141 detik
[SYNCPILOT | CPU  3] Layer 6 memproses Frame   5 | Waktu: 0.12685 detik
[SYNCPILOT | CPU  1] Layer 7 memproses Frame   3 | Waktu: 0.30114 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame   9 | Waktu: 0.16041 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  12 | Waktu: 0.12517 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  11 | Waktu: 0.10142 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  12 | Waktu: 0.02242 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  12 | Waktu: 0.02205 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  12 | Waktu: 0.02145 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  12 | Waktu: 0.02134 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame   9 | Waktu: 0.14958 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  10 | Waktu: 0.17905 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  13 | Waktu: 0.01453 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  14 | Waktu: 0.01834 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  12 | Waktu: 0.08458 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  11 | Waktu: 0.18200 detik
[SYNCPILOT | CPU  2] Layer 7 memproses Frame   2 | Waktu: 0.28206 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  15 | Waktu: 0.01794 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  13 | Waktu: 0.08658 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  14 | Waktu: 0.08354 detik
[SYNCPILOT | CPU  3] Layer 7 memproses Frame   5 | Waktu: 0.25957 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  13 | Waktu: 0.02137 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  14 | Waktu: 0.02392 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  13 | Waktu: 0.02095 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  15 | Waktu: 0.07415 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  14 | Waktu: 0.02383 detik
